unique_row,study_ID,long_cite,short_cite,peer_reviewed,coder,expt_num,expt_condition,same_infant,response_mode,exposure_phase,method,dependent_measure,participant_design,native_lang,infant_type,group_name_1,group_name_2,n_1,n_2,mean_age_1,mean_age_2,x_1,x_2,SD_1,SD_2,t,F,r,d,d_var,corr,test_lang,stimuli_link,data_link,age_range_1,age_range_2,n_excluded_1,n_excluded_2,gender_1,gender_2,num_trials,special_cases_measures,x_dif,SD_dif,contrast_sampa,audio_condition,speaker,speech_type,object_stimulus,cue_type,N_AFC,mean_comprehension_vocab,mean_production_vocab,pointing_modality,motive,correlation_type,condition_type,stimulus_naturalness,contrast_pseudoIPA,sampa_comments,counterbalanced,backness,height,nasality,roundness,tenseness,length,F1_1,F2_1,F1_2,F2_2,duration_word_1,duration_word_2,duration_vowel_1,duration_vowel_2,peripherality,Linguistic,words_to_passage,edge_alignment,familiarization_voice,familiarization_register,familiarization_affect,test_voice,test_register,indexical,rule.type,repetitions,types,tokens,expt_condition2,word_round,word_spiky,multiple_age_groups_younger_older,replication,native,label_present,instruction_code,taxonomic_type,tokens_per_trial,word_types_per_cond,publication_type,main_or_baseline_study,Modality,Semantics,TrainingRule,Speech,Nonspeech,CorrectPronunciation,Mispronunciation,is_correct,n_feature,type_feature,mispron_location,scenarios,Hamlin_Lab,stimuli_type,minimal_pairs,cues_present,word_typicality,ME_trial_type,preceding,task_difficulty,median_production_vocab,sentence_structure,agent_argument_type,patient_argument_type,stimuli_modality,stimuli_actor,transitive_event,intransitive_event,presentation_type,character_identification,practice_phase,test_mass_or_distributed,n_train_test_pair,n_test_trial_per_pair,n_repetitions_sentence,n_repetitions_video,learning_domain,live_video,task,rhythm_class,speech_manip,percentV,deltaC,deltaV,VarcoV,nPVI_V,rPVI_C,corr_imputed,dataset,short_name,domain,d_calc,d_var_calc,g_calc,g_var_calc,r_calc,r_var_calc,z_calc,z_var_calc,log_odds_calc,log_odds_var_calc,es_method,mean_age,n,same_infant_calc,all_mod,mean_age_months,year
29,cheour1998a,"Cheour, M., Alho, K., Ceponiene, R., Reinikainen, K., Sainio, K., Pohjavuori, M., Aaltonen, O., & Naatanen, R. (1998). Maturation of mismatch negativity in infants. International Journal of Psychophysiology 29, 217-226.",Cheour et al. (1998a),yes,Sho Tsuji,1,NA,172,EEG,test_only,oddball,peak_amplitude,within_one,Finnish,typical,NA,NA,6,NA,96.5,NA,3.1,0,2.489645312,NA,3.05,NA,NA,NA,NA,NA,native,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,y:-i:_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural_processed,y-i_,not_looked_up,1,0,0,0,1,0,0,200,1700,200,2400,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3731563714,Vowel discrimination (native),inphondb-native,early_language,1.245157286083328,0.2958680555905332,1.011690294942704,0.19531914607343792,0.5285199934100168,0.027684794259575804,0.5880892621609625,0.3333333333333333,2.2584654938695445,0.9733668878660257,group_means_one,96.5,6,cheour1998a 172,,3.170496314092692,1998
35,cowan1982,"Cowan, N., Suomi, K. & Morse, P. A. (1982). Echoic storage in infant perception. Child Development, 53(4), 984-990.","Cowan, Suomi, & Morse (1982)",yes,Alex Cristia,2,NA,15,behavior,habituation,high-amplitude sucking,sucking_time,between,American English,typical,experimental,control,18,18,60,60,14.42,-2.64,NA,NA,3.08,NA,NA,NA,NA,NA,native,NA,NA,7,7,14.5,14.5,NA,NA,NA,NA,NA,NA,[a-a] to [a-E] OR [E-E] to [E-a] versus control: [a-a] to [E-a] OR [E-E] to [a-E],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural_processed,[a-a] to [a-ε] OR [ε-ε] to [ε-a] versus control: [a-a] to [ε-a] OR [ε-ε] to [a-ε],rather /a/ F1 750 F2 1150,0,NA,NA,NA,NA,NA,NA,750,1150,NA,NA,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2854914849,Vowel discrimination (native),inphondb-native,early_language,1.0266666666666666,0.12575061728395062,1.0033333333333334,0.12009963396592185,0.45667783491740727,0.0155852200349647,0.49310560826238126,0.06666666666666667,1.8621673472804634,0.4137029485951275,between,60,18,cowan1982 15,,1.9712930450317254,1982
36,cowan1982,"Cowan, N., Suomi, K. & Morse, P. A. (1982). Echoic storage in infant perception. Child Development, 53(4), 984-990.","Cowan, Suomi, & Morse (1982)",yes,Alex Cristia,3,NA,16,behavior,habituation,high-amplitude sucking,sucking_time,between,American English,typical,experimental,control,10,10,60,60,NA,-2.64,NA,NA,2.27,NA,NA,NA,NA,NA,native,NA,NA,7,7,5.333333335,5.333333335,NA,NA,NA,NA,NA,NA,[a-a] to [a-E] OR [E-E] to [E-a] versus control: [a-a] to [E-a] OR [E-E] to [a-E],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural_processed,[a-a] to [a-ε] OR [ε-ε] to [ε-a] versus control: [a-a] to [ε-a] OR [ε-ε] to [a-ε],rather /a/ F1 750 F2 1150,0,NA,NA,NA,NA,NA,NA,750,1150,NA,NA,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.389002466,Vowel discrimination (native),inphondb-native,early_language,1.0151748617849046,0.2257645,0.9703877355296883,0.20628352346453288,0.4526180039946321,0.028374058254205622,0.48798791068452774,0.14285714285714285,1.84132351889202,0.7427354342699127,between,60,10,cowan1982 16,,1.9712930450317254,1982
37,figueras2010,"Figueras Montiu, M., & Bosch Galceran, L. (2010). Capacidades de discriminación fonética de un contraste vocálico nativo en el prematuro. Psicothema 22(4), 669-676. Retrieved from http://www.unioviedo.es/reunido/index.php/PST/article/view/8935",Figueras Montiu & Bosch (2010),NA,Alex Cristia,1,NA,60,eye-tracking,familiarization,head-turn preference procedure,looking_time,within_two,"Catalan, Peninsular Spanish",premature,NA,NA,14,NA,134,NA,NA,NA,6.78,6.17,NA,NA,NA,NA,NA,NA,native,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,-0.35,NA,dodi-dudi_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural,dodi-dudi_,not_looked_up,1,0,1,0,0,0,0,537.5,1171,370,1022,849.585,896.635,278.21,173.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8057339447,Vowel discrimination (native),inphondb-native,early_language,-0.05399418582241849,0.027856414046522348,-0.050619549208517335,0.024483176408076283,-0.026987259964448233,0.006948898466372539,-0.026993814545851442,0.09090909090909091,-0.09793461991704687,0.09164392889070812,subj_diff_two,134,14,figueras2010 60,,4.40255446723752,2010
38,figueras2010,"Figueras Montiu, M., & Bosch Galceran, L. (2010). Capacidades de discriminación fonética de un contraste vocálico nativo en el prematuro. Psicothema 22(4), 669-676. Retrieved from http://www.unioviedo.es/reunido/index.php/PST/article/view/8935",Figueras Montiu & Bosch (2010),NA,Alex Cristia,1,NA,61,eye-tracking,familiarization,head-turn preference procedure,looking_time,within_two,"Catalan, Peninsular Spanish",typical,NA,NA,14,NA,140,NA,NA,NA,6.44,5.69,NA,NA,NA,NA,NA,NA,native,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,3.5,NA,dodi-dudi_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural,dodi-dudi_,not_looked_up,1,0,1,0,0,0,0,537.5,1171,370,1022,849.585,896.635,278.21,173.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.567,Vowel discrimination (native),inphondb-native,early_language,0.5759816856345936,0.0737055322209453,0.5399828302824315,0.0647802529285652,0.2767430587212153,0.014508698054226995,0.28415154384051605,0.09090909090909091,1.044715215214579,0.24248148173082507,subj_diff_two,140,14,figueras2010 61,,4.599683771740692,2010
39,figueras2010,"Figueras Montiu, M., & Bosch Galceran, L. (2010). Capacidades de discriminación fonética de un contraste vocálico nativo en el prematuro. Psicothema 22(4), 669-676. Retrieved from http://www.unioviedo.es/reunido/index.php/PST/article/view/8935",Figueras Montiu & Bosch (2010),NA,Alex Cristia,2,NA,62,eye-tracking,familiarization,head-turn preference procedure,looking_time,within_two,"Catalan, Peninsular Spanish",premature,NA,NA,14,NA,253,NA,NA,NA,7.334,8.87,NA,NA,NA,NA,NA,NA,native,NA,NA,81,NA,NA,NA,NA,NA,NA,NA,3.228,NA,dodi-dudi_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural_processed,dodi-dudi_,not_looked_up,1,0,1,0,0,0,0,537.5,1171,370,1022,849.585,896.635,278.21,173.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.421,Vowel discrimination (native),inphondb-native,early_language,0.39664213193196596,0.08833303502941196,0.3718519986862181,0.07763645656881911,0.19453236033457197,0.019669857357176142,0.19704351496120537,0.09090909090909091,0.7194292467267047,0.2906040370959549,subj_diff_two,253,14,figueras2010 62,,8.31228567321711,2010
40,figueras2010,"Figueras Montiu, M., & Bosch Galceran, L. (2010). Capacidades de discriminación fonética de un contraste vocálico nativo en el prematuro. Psicothema 22(4), 669-676. Retrieved from http://www.unioviedo.es/reunido/index.php/PST/article/view/8935",Figueras Montiu & Bosch (2010),NA,Alex Cristia,2,NA,63,eye-tracking,familiarization,head-turn preference procedure,looking_time,within_two,"Catalan, Peninsular Spanish",typical,NA,NA,14,NA,264,NA,NA,NA,4.366,5.219,NA,NA,NA,NA,NA,NA,native,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,4.828,NA,dodi-dudi_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural,dodi-dudi_,not_looked_up,1,0,1,0,0,0,0,537.5,1171,370,1022,849.585,896.635,278.21,173.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.389002466,Vowel discrimination (native),inphondb-native,early_language,1.00344171845667,0.12324590779783126,0.940726611053128,0.10832159865043763,0.44844367074600283,0.015710389978277388,0.4827504783592873,0.09090909090909091,1.8200419509827992,0.40546278467257624,subj_diff_two,264,14,figueras2010 63,,8.673689398139592,2010
41,gogate1998,"Gogate, L. J. & Bahrick, L. E. (1998). Intersensory redundancy facilitates learning of arbitrary relations between vowel sounds and objects in 7-month-old infants. Journal of Experimental Child Psychology, 69 (2), 133-149.",Gogate & Bahrick (1998),yes,Lakshmi Gogate,1,Synchronous,190,eye-tracking,habituation,word-object pairing,looking_time,within_two,"American English, (Spanish, Other)",bilingual,NA,NA,16,NA,220,NA,9.28,13.96,7.29,7.38,NA,NA,NA,NA,NA,NA,native,NA,NA,NA,NA,4.666666667,NA,NA,NA,NA,NA,4.68,NA,a-i_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural,a-i_,AEnglish,1,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.364,Vowel discrimination (native),inphondb-native,early_language,-0.6380248029884524,0.09222111403838917,-0.6038449028283568,0.08260494557839132,-0.3039221195947818,0.017238474494819807,-0.31383523262878404,0.07692307692307693,-1.1572489820261171,0.3033953043288831,group_means_two,220,16,gogate1998 190,,7.22807449844966,1998
42,gogate1998,"Gogate, L. J. & Bahrick, L. E. (1998). Intersensory redundancy facilitates learning of arbitrary relations between vowel sounds and objects in 7-month-old infants. Journal of Experimental Child Psychology, 69 (2), 133-149.",Gogate & Bahrick (1998),yes,Lakshmi Gogate,1,Asynchronous,191,eye-tracking,habituation,word-object pairing,looking_time,within_two,"American English, (Spanish, Other)",bilingual,NA,NA,16,NA,220,NA,7.31,6.72,5.97,4,NA,NA,NA,NA,NA,NA,native,NA,NA,NA,NA,4.666666667,NA,NA,NA,NA,NA,-0.59,NA,a-i_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural,a-i_,AEnglish,1,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.521,Vowel discrimination (native),inphondb-native,early_language,0.11611012916692928,0.06029629881547378,0.10988994367584379,0.054009025310161295,0.05795747707554077,0.014922679812658175,0.05802250257208744,0.07692307692307693,0.21060047846412924,0.19836687205286632,group_means_two,220,16,gogate1998 191,,7.22807449844966,1998
43,gogate1998,"Gogate, L. J. & Bahrick, L. E. (1998). Intersensory redundancy facilitates learning of arbitrary relations between vowel sounds and objects in 7-month-old infants. Journal of Experimental Child Psychology, 69 (2), 133-149.",Gogate & Bahrick (1998),yes,Lakshmi Gogate,1,Still,192,eye-tracking,habituation,word-object pairing,looking_time,within_two,"American English, (Spanish, Other)",bilingual,NA,NA,16,NA,220,NA,6.48,4.49,5.08,3.05,NA,NA,NA,NA,NA,NA,native,NA,NA,NA,NA,4.666666667,NA,NA,NA,NA,NA,-1.99,NA,a-i_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural,a-i_,AEnglish,1,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.127906149,Vowel discrimination (native),inphondb-native,early_language,0.47496265419979167,0.11606140396514097,0.4495182262962314,0.10395933792668399,0.2310552331870982,0.024611941905515695,0.2353039257470307,0.07692307692307693,0.8614869602225788,0.3818267144569884,group_means_two,220,16,gogate1998 192,,7.22807449844966,1998
44,gogate2001,"Gogate, L. J. & Bahrick, L. E. (2001). Intersensory redundancy and 7-month-old infants’ memory for syllable-object relations. Infancy, 2 (2), 219-231.",Gogate & Bahrick (2001),yes,Lakshmi Gogate,1,Synchronous,190,eye-tracking,habituation,looking while listening,looking_time,within_one,"American English, (Spanish, Other)",bilingual,NA,NA,14,NA,220,NA,0.61,0.5,0.17,NA,NA,NA,NA,NA,NA,NA,native,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,a-i_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural,a-i_,AEnglish,1,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.543,Vowel discrimination (native),inphondb-native,early_language,0.6470588235294117,0.08638161146811665,0.6066176470588235,0.0759213382043994,0.3078202854146625,0.01601998557828277,0.3181357505233848,0.09090909090909091,1.1736348827397878,0.284184110906305,group_means_one,220,14,gogate2001 190,,7.22807449844966,2001
45,gogate2001,"Gogate, L. J. & Bahrick, L. E. (2001). Intersensory redundancy and 7-month-old infants’ memory for syllable-object relations. Infancy, 2 (2), 219-231.",Gogate & Bahrick (2001),yes,Lakshmi Gogate,1,Asynchronous,191,eye-tracking,habituation,looking while listening,looking_time,within_one,"American English, (Spanish, Other)",bilingual,NA,NA,16,NA,220,NA,0.46,0.5,0.14,NA,NA,NA,NA,NA,NA,NA,native,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,a-i_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural,a-i_,AEnglish,1,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6575968788,Vowel discrimination (native),inphondb-native,early_language,-0.28571428571428553,0.06505102040816327,-0.2704081632653059,0.05826795801228655,-0.1414213562373094,0.015306375,-0.1423756431678043,0.07692307692307693,-0.5182283897812048,0.21400927910525394,group_means_one,220,16,gogate2001 191,,7.22807449844966,2001
46,gogate2001,"Gogate, L. J. & Bahrick, L. E. (2001). Intersensory redundancy and 7-month-old infants’ memory for syllable-object relations. Infancy, 2 (2), 219-231.",Gogate & Bahrick (2001),yes,Lakshmi Gogate,1,Still,192,eye-tracking,habituation,looking while listening,looking_time,within_one,"American English, (Spanish, Other)",bilingual,NA,NA,16,NA,220,NA,0.49,0.5,0.12,NA,NA,NA,NA,NA,NA,NA,native,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,a-i_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural,a-i_,AEnglish,1,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1571412338,Vowel discrimination (native),inphondb-native,early_language,-0.08333333333333341,0.0627170138888889,-0.07886904761904769,0.0561773252595309,-0.04163054471218137,0.015597873426705761,-0.04165461974878976,0.07692307692307693,-0.1511499470195183,0.2063307054336534,group_means_one,220,16,gogate2001 192,,7.22807449844966,2001
47,gogate2001,"Gogate, L. J. & Bahrick, L. E. (2001). Intersensory redundancy and 7-month-old infants’ memory for syllable-object relations. Infancy, 2 (2), 219-231.",Gogate & Bahrick (2001),yes,Lakshmi Gogate,2,Synchronous,193,eye-tracking,habituation,looking while listening,looking_time,within_two,"American English, (Spanish, Other)",bilingual,NA,NA,16,NA,220,NA,8.69,17.17,14.26,14.67,NA,NA,NA,NA,NA,NA,native,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,a-i_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural,a-i_,AEnglish,1,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,Vowel discrimination (native),inphondb-native,early_language,-0.5861837902663379,0.09823785737409406,-0.5547810872163556,0.0879943052818336,-0.2812602256081999,0.01917988331421394,-0.28905002937007973,0.07692307692307693,-1.0632197861094879,0.3231895964976491,group_means_two,220,16,gogate2001 193,,7.22807449844966,2001
48,gogate2001,"Gogate, L. J. & Bahrick, L. E. (2001). Intersensory redundancy and 7-month-old infants’ memory for syllable-object relations. Infancy, 2 (2), 219-231.",Gogate & Bahrick (2001),yes,Lakshmi Gogate,2,SynchronousAsynchronous,193,eye-tracking,test_only,looking while listening,looking_time,within_one,"American English, (Spanish, Other)",bilingual,NA,NA,16,NA,224,NA,0.56,0.5,0.1,NA,NA,NA,NA,NA,NA,NA,native,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,a-i_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural,a-i_,AEnglish,1,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4133801523,Vowel discrimination (native),inphondb-native,early_language,0.6000000000000005,0.07375000000000002,0.5678571428571434,0.0660598692602041,0.28734788556634566,0.014237132913625874,0.29567304756342266,0.07692307692307693,1.0882796185405317,0.24262777486011347,group_means_one,224,16,gogate2001 193,,7.359494034785109,2001
50,jansson-verkalo2010,"Jansson-Verkalo, E., Ruusuvirta, T., Huotilainen, M., Alku, P., Kushnerenko, E., Suominen, K., Rytky, S., Luotonen, M., Kaukola, T., Tolonen, U., Hallman, M., (2010). Atypical perceptual narrowing in prematurely born infants is associated with compromised language acquisition at 2 years of age. BMC Neuroscience, 11-88.",Jansson-Verkalo et al. (2010),yes,Sho Tsuji,1,NA,173,EEG,test_only,oddball,peak_amplitude,within_one,Finnish,typical,NA,NA,13,NA,182.52,NA,0.571,0,1.24,NA,NA,NA,NA,NA,NA,NA,native,NA,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,e-2_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural,e-ö_,X-Sampal,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.622,Vowel discrimination (native),inphondb-native,early_language,0.4604838709677419,0.08507866905467062,0.4290872434017595,0.07387254270707713,0.2243716085682223,0.01821635748647325,0.22825474515095448,0.1,0.8352253524014018,0.2798976021802674,group_means_one,182.52,13,jansson-verkalo2010 173,,5.996673442986509,2010
51,jansson-verkalo2011,"Jansson-Verkalo, E., Ruusuvirta, T., Huotilainen, M., Alku, P., Kushnerenko, E., Suominen, K., Rytky, S., Luotonen, M., Kaukola, T., Tolonen, U., Hallman, M., (2010). Atypical perceptual narrowing in prematurely born infants is associated with compromised language acquisition at 2 years of age. BMC Neuroscience, 11-88.",Jansson-Verkalo et al. (2010),yes,Sho Tsuji,1,NA,173,EEG,test_only,oddball,peak_amplitude,within_one,Finnish,typical,NA,NA,13,NA,365.04,NA,0.819,0,2.79,NA,NA,NA,NA,NA,NA,NA,native,NA,NA,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,e-2_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural,e-ö_,X-Sampal,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.734,Vowel discrimination (native),inphondb-native,early_language,0.29354838709677417,0.08023733290642761,0.2735337243401759,0.0696688825494343,0.14521833336955944,0.01881685182579215,0.14625225315772855,0.1,0.532437877888109,0.26397024466165,group_means_one,365.04,13,jansson-verkalo2011 173,,11.993346885973018,2011
